,transaction_amount,quantity,customer_age,is_fraudulent,account_age_days,transaction_hour,transaction_day,transaction_month,encoded_payment_method,encoded_product_category,encoded_device_used
7653,33.22,3,29,0,268,7,5,1,3,2,1
7654,10.48,1,58,0,236,7,0,1,2,0,1
7655,324.99,3,35,0,162,6,3,2,3,3,1
7656,148.61,4,22,0,276,18,2,2,1,1,1
7657,257.53,3,36,0,319,0,6,1,1,0,2
7658,34.35,1,37,0,179,9,4,2,3,3,2
7659,327.85,3,32,0,64,7,5,1,0,1,0
7660,48.74,3,38,0,297,11,5,3,1,4,1
7661,588.07,5,47,0,254,10,2,1,0,4,0
7662,182.31,5,26,0,91,16,3,1,1,0,0
7663,312.68,5,35,0,22,9,5,1,0,4,2
7664,757.5,2,21,0,274,4,0,2,1,4,0
7665,401.72,5,21,0,218,20,4,3,1,4,0
7666,94.06,1,47,0,186,10,6,2,1,4,0
7667,16.99,3,42,0,341,3,6,2,3,2,0
7668,324.33,2,46,0,279,10,5,1,1,0,0
7669,383.09,5,44,0,340,5,1,2,3,3,1
7670,1524.72,1,20,0,119,22,6,2,3,2,2
7671,288.32,1,36,0,188,4,4,2,3,0,0
7672,12.1,3,49,0,208,22,1,1,3,0,2
7673,197.15,4,29,0,238,14,0,2,1,3,0
7674,120.01,4,37,0,118,20,4,2,1,1,0
7675,169.44,5,32,0,154,9,1,1,1,2,2
7676,215.83,5,24,0,207,3,3,1,1,1,0
7677,475.18,5,40,0,145,11,3,3,3,2,1
7678,156.52,4,31,0,285,14,1,1,0,2,1
7679,305.7,2,36,0,277,5,1,1,0,2,2
7680,156.24,3,22,0,215,21,3,1,3,0,1
7681,179.25,2,57,0,194,8,0,1,3,1,1
7682,330.07,4,37,1,5,11,5,3,3,3,0
7683,337.32,2,27,1,323,4,0,2,2,3,0
7684,261.05,3,28,0,315,20,1,3,2,2,0
7685,177.04,5,30,0,206,9,3,2,0,0,1
7686,154.2,1,38,0,92,15,2,1,3,3,1
7687,390.01,3,44,0,132,4,4,1,0,0,1
7688,18.95,1,32,0,149,12,0,4,1,1,0
7689,13.22,3,33,0,316,23,0,3,1,4,0
7690,258.76,4,35,0,218,17,3,3,1,1,1
7692,25.54,5,34,0,108,0,6,3,3,2,2
7693,145.64,4,22,0,10,23,6,1,2,1,2
7694,613.37,5,34,1,6,17,2,3,1,0,2
7695,92.62,4,34,0,268,7,0,2,2,2,0
7696,36.66,1,24,0,43,1,1,2,2,0,1
7697,49.6,5,41,0,201,4,4,3,0,3,2
7698,344.2,4,26,1,11,1,1,2,2,1,2
7699,34.49,1,38,0,299,14,3,2,3,3,0
7700,98.63,1,30,0,154,20,6,3,2,2,2
7701,492.75,4,30,0,306,3,4,2,1,0,0
7702,625.53,2,58,0,101,17,2,2,3,2,1
7703,97.91,4,30,0,112,16,3,1,1,2,0
7704,49.12,4,32,0,114,16,1,1,3,4,2
7705,127.0,1,41,0,323,1,1,2,3,0,2
7706,128.94,4,39,0,284,22,2,3,1,4,0
7707,85.99,1,21,0,284,2,6,3,0,4,2
7708,126.28,5,18,0,316,13,3,2,1,4,1
7709,134.13,2,47,0,106,14,6,2,1,2,0
7710,108.87,3,22,0,60,18,1,2,1,1,2
7712,43.47,2,27,0,260,9,2,2,1,0,0
7713,117.31,1,34,0,24,16,0,1,2,0,1
7714,244.18,5,41,0,341,1,1,1,2,2,2
7715,55.58,4,30,0,221,15,3,3,3,4,0
7716,87.88,5,50,0,233,5,3,2,3,3,2
7717,23.82,2,28,0,162,21,5,2,3,2,2
7718,446.28,1,51,0,163,13,2,3,1,2,1
7719,363.23,2,46,0,216,23,4,1,3,0,2
7720,108.02,2,25,0,70,7,0,1,2,3,0
7721,91.11,4,25,0,143,4,3,2,2,0,0
7722,225.34,2,31,0,202,23,0,2,1,3,0
7723,126.38,3,24,0,346,1,3,2,3,0,2
7724,397.45,3,36,0,214,17,3,2,2,4,2
7725,161.68,4,52,0,37,2,6,2,2,2,2
7726,446.73,1,41,0,49,3,4,3,1,0,1
7727,40.35,1,35,0,335,14,6,1,1,2,1
7728,565.87,4,30,0,37,2,1,3,1,4,2
7729,216.44,2,40,0,56,9,0,1,1,4,2
7730,218.67,2,54,0,124,17,3,1,1,3,2
7731,409.26,1,37,0,274,16,4,2,0,3,0
7732,432.81,4,43,0,32,5,4,2,3,0,0
7733,274.29,5,40,0,309,7,2,2,2,1,0
7734,377.61,5,26,0,160,5,2,1,3,2,0
7735,10.82,5,31,0,261,14,1,3,2,2,2
7736,87.28,4,28,0,178,21,3,1,2,4,0
7737,70.85,3,44,0,149,1,4,2,2,0,1
7738,55.17,2,27,0,264,8,5,1,2,4,1
7739,12.7,3,42,0,92,21,1,2,1,1,0
7740,318.37,1,33,0,255,4,1,1,0,0,2
7741,124.44,3,28,0,225,13,6,1,1,0,1
7742,194.21,5,48,0,15,11,1,1,2,4,1
7743,153.76,5,31,0,300,19,4,2,1,3,1
7744,50.55,5,55,0,100,14,5,1,2,2,1
7745,219.12,4,31,0,283,23,1,2,2,1,1
7746,568.07,3,46,0,153,17,5,1,2,0,2
7747,145.03,4,30,0,99,19,1,2,0,0,0
7748,228.37,3,34,0,120,11,6,3,0,4,0
7749,536.51,5,25,0,215,12,1,2,1,2,2
7750,141.99,5,30,0,177,22,2,1,3,0,0
7751,142.37,2,22,0,10,11,0,1,3,2,2
7752,416.28,1,36,0,350,2,3,3,2,0,1
7753,73.26,2,32,0,347,11,5,1,2,0,2
7754,32.21,1,32,0,343,14,1,2,0,1,2
7755,16.82,4,26,0,147,13,3,3,1,0,2
7756,246.65,4,26,0,334,20,0,1,3,4,1
7757,67.94,1,37,0,56,15,5,3,2,3,1
7758,410.25,4,29,1,11,1,6,1,2,3,2
7759,131.8,1,40,0,287,16,6,3,2,1,1
7760,74.44,4,37,0,353,16,0,4,2,4,1
7761,17.46,3,34,0,305,5,2,3,0,3,2
7762,85.9,3,31,0,102,7,3,3,0,3,2
7763,124.2,3,25,0,136,6,5,1,1,2,2
7764,430.71,4,31,0,87,19,6,2,1,1,2
7765,288.54,1,48,0,283,8,5,1,3,0,0
7766,99.54,2,30,0,166,7,4,1,3,2,1
7767,96.41,4,20,0,93,19,4,3,3,2,2
7768,94.97,2,41,0,291,4,3,2,1,2,0
7769,102.77,3,46,0,34,8,3,2,3,2,1
7770,138.97,5,42,0,31,5,2,3,1,2,1
7771,119.21,4,37,0,40,15,6,3,1,1,1
7772,242.45,2,37,0,327,18,4,2,3,0,0
7773,433.18,1,51,0,59,21,0,2,3,4,1
7774,43.55,1,35,0,218,3,5,3,1,4,2
7775,86.37,2,42,0,248,18,5,3,1,3,1
7776,19.32,5,33,0,186,7,5,3,1,1,2
7777,14.91,5,23,0,149,0,5,1,1,4,1
7778,401.85,1,39,1,286,11,6,3,1,1,1
7779,118.44,3,29,0,119,12,3,1,1,4,2
7780,70.38,5,33,0,266,11,6,3,1,0,2
7781,51.48,4,29,0,99,3,5,3,2,1,1
7782,160.66,3,22,0,151,9,6,2,3,4,1
7783,218.36,4,18,0,207,5,6,1,1,3,2
7784,231.83,4,41,0,189,0,4,1,1,3,2
7785,198.71,3,32,0,116,23,3,1,0,3,0
7786,17.53,3,46,0,182,1,0,1,3,0,0
7787,78.13,4,29,0,275,4,3,1,2,0,2
7788,284.45,2,37,0,266,19,1,1,2,3,0
7789,45.46,4,25,0,210,6,3,1,2,1,1
7790,316.24,4,32,0,267,21,0,1,0,3,2
7791,169.17,2,35,0,346,16,3,1,1,2,2
7792,34.38,2,46,0,101,0,3,1,1,1,2
7793,229.73,2,22,0,185,7,2,2,0,0,1
7794,45.23,1,39,0,89,21,0,2,3,4,1
7795,388.04,1,47,0,286,0,0,4,0,0,2
7796,69.3,4,34,0,298,0,3,3,3,4,1
7797,345.3,4,41,0,143,8,0,2,0,0,1
7798,128.2,5,41,0,82,2,0,3,2,3,2
7799,73.51,2,42,0,146,15,5,3,1,3,0
7800,374.63,4,47,0,325,22,2,1,1,1,0
7801,293.37,1,44,0,268,12,1,4,2,0,2
7802,62.75,3,35,1,30,19,5,3,3,4,2
7803,380.33,3,36,0,45,1,5,2,1,2,1
7804,292.07,5,53,0,76,9,3,1,2,4,0
7805,76.22,5,45,0,33,23,6,1,3,2,2
7806,309.54,3,51,0,90,18,2,2,3,1,2
7807,382.44,2,49,0,180,12,2,2,2,2,1
7808,184.74,4,35,0,36,3,3,2,1,3,2
7810,503.22,3,28,0,247,7,6,3,3,0,0
7811,88.96,3,43,0,257,9,1,1,0,2,0
7812,17.83,4,33,0,164,8,1,4,1,0,0
7813,331.42,5,42,0,315,16,5,1,2,3,1
7814,466.29,1,38,0,175,16,4,3,3,0,0
7815,104.7,2,47,0,236,21,3,1,1,0,0
7816,43.03,3,50,0,28,9,3,3,0,0,2
7817,806.81,5,33,0,247,0,0,1,1,3,1
7818,103.27,1,42,0,107,19,3,2,0,4,2
7819,534.5,5,29,0,138,13,2,1,1,4,2
7820,89.92,2,18,0,335,6,5,1,2,0,1
7821,273.88,3,29,0,282,4,4,1,1,2,0
7822,618.85,1,45,0,300,1,2,2,1,3,1
7823,18.8,2,43,0,247,19,1,1,0,1,1
7824,290.1,4,55,0,73,17,2,3,3,4,0
7825,848.94,1,36,0,174,9,3,2,3,2,1
7826,103.72,4,28,0,357,9,2,1,2,0,1
7827,54.11,4,33,0,260,22,2,1,2,2,0
7828,59.89,4,29,0,142,18,1,1,3,4,2
7829,451.01,2,51,0,159,21,1,1,2,0,2
7830,725.03,5,34,0,211,19,6,1,2,4,1
7831,12.13,1,36,0,113,18,5,1,0,3,1
7832,431.55,5,20,0,131,18,1,3,2,4,0
7833,106.18,4,58,0,86,13,0,1,1,1,2
7834,13.25,4,45,0,164,2,4,3,2,3,1
7835,605.14,3,47,0,68,12,4,1,0,1,2
7836,152.39,4,26,0,6,17,1,4,3,4,1
7837,406.3,3,20,0,6,19,4,3,0,1,2
7838,257.39,3,26,0,208,2,0,1,1,1,1
7839,24.72,1,23,0,119,15,4,1,0,0,2
7840,104.26,5,18,0,29,2,4,3,1,4,2
7841,414.26,5,38,0,52,0,4,2,3,1,1
7842,50.61,3,43,0,29,16,3,1,3,3,0
7843,278.28,5,28,0,324,1,2,3,3,4,1
7844,47.15,2,25,0,323,8,4,1,0,0,0
7845,596.74,2,47,0,311,1,6,2,1,4,1
7846,84.49,3,18,0,82,9,6,3,1,0,2
7847,806.59,2,32,0,52,14,2,3,2,1,1
7848,65.98,3,31,0,284,9,0,1,2,1,0
7849,104.69,4,40,0,270,8,3,3,3,4,1
7850,34.96,2,41,0,287,9,4,2,0,2,2
7851,12.35,3,41,0,157,6,4,3,3,4,1
7852,176.12,3,39,0,138,19,1,1,3,0,0
7853,491.28,5,20,0,75,8,0,1,3,2,1
7854,887.38,3,18,0,157,0,3,1,0,2,2
7855,102.71,5,31,1,239,0,6,2,3,0,2
7856,50.86,1,24,0,127,18,2,2,0,0,2
7857,26.28,2,26,0,287,15,5,1,2,4,1
7858,97.83,2,35,0,221,9,4,3,1,0,2
7859,69.9,1,43,0,207,16,3,3,2,2,1
7860,653.19,1,17,0,76,1,1,2,0,4,2
7861,452.42,5,27,0,56,10,1,3,1,0,0
7862,315.08,3,30,0,286,6,0,2,0,1,2
7863,103.9,1,24,0,364,3,5,3,3,2,0
7864,19.79,5,25,0,184,21,1,1,3,4,2
7865,140.41,5,27,0,7,13,0,1,2,2,0
7866,280.01,4,48,0,178,22,3,2,1,3,0
7867,82.8,5,42,0,184,16,0,2,0,1,1
7868,457.37,5,34,0,197,13,4,3,3,4,2
7869,45.67,5,21,0,93,18,2,1,1,2,1
7870,112.66,1,37,0,44,8,4,3,3,2,0
7871,87.76,2,33,0,205,7,0,1,1,3,0
7872,33.88,3,44,0,30,0,5,2,1,2,0
7873,40.02,4,29,0,40,6,5,3,3,0,0
7874,73.46,1,28,0,72,7,3,2,3,0,1
7875,146.68,3,23,0,159,0,2,2,0,4,0
7876,141.68,1,30,0,52,7,2,1,2,4,1
7877,267.04,4,39,0,299,2,2,3,1,4,2
7878,911.37,5,19,0,281,22,1,1,2,3,2
7879,213.92,3,36,0,85,10,2,3,0,3,0
7880,68.64,3,51,0,308,21,0,3,3,3,0
7881,184.6,1,42,1,89,2,2,3,3,2,0
7882,291.66,4,34,0,84,21,5,3,1,2,0
7883,181.25,1,42,0,323,9,6,1,2,3,0
7884,488.1,4,27,0,44,8,0,2,1,0,0
7885,40.77,4,26,0,333,4,4,3,0,4,2
7886,962.03,2,39,0,242,9,6,2,2,0,1
7887,59.94,4,34,0,198,3,6,3,0,4,1
7888,11.68,4,28,0,71,14,6,1,2,2,2
7889,354.54,1,21,0,261,12,3,2,0,1,1
7890,323.85,4,35,0,325,22,5,3,3,0,0
7891,156.26,4,17,0,161,7,2,2,0,3,0
7892,367.96,3,23,0,103,16,4,2,0,1,1
7893,102.5,2,45,0,25,12,6,1,0,0,0
7894,148.82,4,32,0,54,21,6,2,0,3,2
7895,699.6,1,35,0,239,6,2,1,1,3,0
7896,37.53,5,38,0,215,23,3,3,3,3,2
7897,279.99,3,40,0,12,19,2,3,3,3,2
7898,121.06,5,37,0,154,2,2,3,0,4,0
7899,69.05,2,19,0,328,22,2,1,3,2,2
7900,36.62,3,31,0,223,22,1,4,0,4,1
7901,492.64,5,42,0,166,21,2,1,2,3,0
7902,367.06,1,38,0,240,6,1,2,0,0,0
7903,215.99,1,35,0,101,19,2,2,1,0,1
7904,229.08,2,36,0,128,18,2,1,1,1,1
7905,399.3,4,31,0,190,11,1,3,1,3,0
7906,272.58,2,18,0,99,7,6,1,2,3,2
7907,182.38,5,28,0,153,16,3,2,2,3,1
7908,188.92,3,33,0,188,11,3,2,1,1,1
7909,70.58,1,27,0,107,1,2,1,3,1,0
7910,520.18,3,36,0,308,12,3,3,1,1,2
7911,102.72,4,49,0,180,0,0,3,2,2,1
7912,161.03,1,35,0,242,4,1,3,3,4,1
7913,114.34,5,22,0,223,15,6,3,0,2,1
7914,146.26,5,30,0,7,5,0,1,0,0,1
7915,280.91,2,67,0,362,19,3,2,0,4,1
7916,396.04,5,45,0,25,6,2,2,0,0,1
7917,13.93,3,21,0,19,17,0,1,0,1,0
7918,616.99,3,30,0,136,8,2,2,3,1,1
7919,20.73,2,18,0,309,4,1,2,3,2,2
7920,386.76,5,50,0,305,0,5,2,2,0,0
7921,99.43,3,37,0,347,0,5,1,3,0,1
7922,363.72,4,26,0,112,10,2,2,0,2,1
7923,87.49,2,26,0,358,3,0,3,2,3,2
7924,126.0,5,43,0,340,18,0,2,3,4,1
7925,674.79,1,38,0,13,7,5,2,0,2,0
7926,174.67,2,66,0,24,7,0,3,3,4,0
7927,213.88,2,25,0,87,18,4,3,2,4,1
7928,175.2,1,21,0,130,10,4,3,1,0,2
7929,150.42,1,33,1,275,2,6,3,0,0,1
7930,1809.9,2,41,1,19,4,5,3,2,4,1
7931,361.43,2,25,0,315,17,3,3,1,0,2
7932,75.09,5,26,0,246,14,3,1,1,4,2
7933,149.06,3,46,0,188,3,5,3,2,4,1
7934,205.1,1,42,0,216,2,6,1,0,1,2
7935,127.85,3,29,0,86,8,6,3,0,0,2
7936,1414.25,4,27,1,37,4,2,1,0,1,0
7937,26.48,5,29,0,309,0,4,1,0,0,1
7938,17.32,1,30,0,329,9,6,2,2,0,1
7939,354.4,3,23,0,340,8,5,2,3,3,1
7940,287.54,2,40,0,68,11,3,1,2,4,1
7941,42.71,5,26,0,277,23,3,3,1,4,1
7942,241.87,3,34,0,107,20,0,2,1,4,0
7943,341.81,5,29,0,337,16,2,3,3,3,1
7944,414.43,1,37,0,142,15,4,2,3,3,2
7945,307.32,1,35,0,183,19,6,2,3,4,1
7946,183.49,3,43,0,220,14,1,3,1,0,1
7947,108.57,3,41,0,200,14,5,2,1,3,0
7948,88.95,5,33,0,339,18,4,3,0,0,1
7949,27.42,3,48,0,30,6,6,2,0,2,1
7950,57.31,4,49,0,31,10,4,2,0,0,2
7951,347.08,3,18,0,338,5,1,3,0,2,2
7952,202.97,3,45,0,13,0,2,2,1,3,2
7953,92.58,1,34,0,191,22,2,3,0,0,0
7954,203.82,3,32,0,347,2,1,4,3,4,1
7955,481.36,5,55,0,27,13,5,2,0,3,1
7956,512.0,3,45,1,237,0,4,3,1,0,2
7957,158.98,4,41,0,215,22,1,1,2,2,2
7958,43.01,4,31,0,153,15,4,3,2,4,0
7959,120.4,2,26,0,351,6,1,3,2,1,1
7960,42.71,3,40,0,130,18,0,1,2,1,2
7961,102.84,4,36,0,46,8,0,3,2,0,1
7962,25.08,5,44,0,128,16,1,1,1,3,2
7963,134.29,2,42,1,318,1,2,1,1,3,0
7964,165.91,2,36,0,86,11,0,1,0,3,0
7965,99.81,1,42,0,172,18,2,1,3,3,2
7966,1520.65,2,26,1,115,0,4,2,2,2,1
7967,53.41,4,44,0,128,19,5,1,2,3,1
7968,755.38,2,29,0,328,3,3,3,0,3,0
7969,16.05,4,39,0,6,3,2,1,3,4,1
7970,185.7,1,38,0,117,0,2,2,2,1,2
7971,202.57,5,17,0,84,20,3,1,1,1,0
7972,1135.69,1,28,0,281,11,2,1,0,3,0
7973,15.17,4,47,0,54,21,6,3,2,2,0
7974,562.63,2,32,0,209,2,4,3,1,0,1
7975,196.81,5,37,0,240,18,5,2,0,3,1
7977,269.47,1,40,0,115,15,4,1,2,1,0
7978,307.73,2,29,0,340,3,0,1,1,2,1
7979,32.1,2,20,0,268,23,4,3,2,2,0
7980,36.42,4,37,0,97,18,5,2,1,4,1
7981,112.52,3,42,0,311,15,6,3,2,1,2
7982,469.87,3,30,0,344,20,3,3,1,1,1
7983,99.36,4,29,0,317,16,3,3,3,2,0
7984,343.2,5,27,0,357,15,4,3,1,3,0
7985,16.08,3,23,0,43,2,5,3,2,3,0
7986,32.17,1,29,0,114,6,1,2,3,1,0
7987,77.86,1,42,0,244,3,4,2,0,0,0
7988,13.77,4,18,0,28,22,2,2,0,3,1
7989,37.52,1,37,0,59,2,6,3,1,4,1
7990,81.4,2,18,0,362,17,3,1,1,2,2
7991,77.01,2,38,0,24,14,6,1,1,0,0
7992,360.5,3,21,0,246,0,6,1,3,3,2
7993,83.48,3,53,0,142,1,2,1,0,3,1
7994,423.3,2,46,1,21,0,3,3,3,4,0
7995,21.13,5,45,1,16,10,0,2,0,2,0
7996,542.12,5,35,0,246,15,2,1,1,4,0
7997,167.61,3,31,0,138,22,0,3,1,4,1
7998,86.57,5,28,0,119,15,4,3,1,0,2
7999,20.57,5,45,0,343,15,2,2,2,1,1
8000,463.53,2,25,0,64,8,1,1,3,1,1
8001,108.97,1,34,0,254,18,4,2,3,0,1
8002,27.93,5,48,0,70,0,4,1,1,0,2
8003,598.19,3,43,1,21,15,6,3,3,0,0
8004,216.33,4,45,0,348,13,4,2,3,4,1
8005,258.51,1,33,0,238,0,0,3,0,3,0
8006,140.97,5,23,0,92,0,0,1,1,0,2
8007,223.75,3,34,0,108,3,6,3,0,0,2
8008,530.4,5,29,0,272,15,0,1,1,0,1
8009,24.36,1,33,0,284,19,2,3,0,1,0
8010,76.88,5,49,0,113,23,6,3,0,4,2
8011,27.59,3,31,0,103,18,0,2,0,3,2
8012,148.84,4,31,0,59,2,1,3,3,1,1
8013,104.46,3,50,0,41,9,3,2,3,4,0
8014,80.03,4,39,0,234,12,1,4,3,0,1
8015,17.94,5,47,0,329,4,0,4,2,1,1
8016,100.36,2,19,0,133,1,3,3,2,2,1
8017,228.73,5,35,0,77,15,1,3,0,1,0
8018,109.6,1,28,0,181,12,3,3,1,0,1
8019,23.81,4,40,0,8,2,3,2,3,4,2
8020,77.28,1,30,0,230,20,0,4,2,1,1
8021,205.24,2,44,0,263,16,0,4,0,4,0
8022,146.27,1,42,0,98,16,4,3,0,1,2
8023,340.41,4,38,1,180,18,0,1,2,3,0
8024,234.89,3,38,0,229,3,0,1,0,4,0
8026,104.45,3,41,0,363,13,3,1,2,3,2
8027,201.43,2,44,0,136,8,2,2,3,4,2
8028,199.03,2,50,0,61,21,0,1,3,0,2
8029,74.33,4,36,0,131,9,6,1,0,2,0
8030,49.31,2,37,0,347,21,5,3,0,1,0
8031,41.64,3,34,0,290,21,3,3,3,0,2
8032,1135.05,2,33,0,64,20,2,2,1,3,0
8033,223.27,4,42,0,97,2,0,3,1,0,2
8034,105.29,1,36,0,181,11,2,2,3,3,2
8035,166.03,3,34,0,169,7,3,2,3,1,1
8036,88.49,5,59,0,217,13,3,3,2,2,2
8038,108.98,5,45,0,336,1,4,2,1,4,1
8039,95.19,3,22,0,189,12,0,1,2,3,0
8040,53.26,4,20,0,10,11,3,3,3,2,1
8041,335.2,5,40,0,235,17,6,1,0,0,1
8042,791.45,2,44,0,19,4,1,2,1,4,0
8043,57.41,3,33,0,287,8,1,1,2,2,1
8044,200.3,3,40,1,25,0,1,3,2,4,0
8045,621.08,2,41,0,201,4,3,3,2,4,2
8046,697.45,5,41,0,250,11,6,2,0,4,1
8047,44.55,3,33,0,10,4,0,3,3,3,1
8049,110.17,2,31,0,152,9,0,2,2,4,1
8050,342.58,4,44,0,157,3,0,4,1,2,1
8051,160.04,1,35,0,328,15,5,3,0,3,0
8052,181.61,1,42,0,324,21,1,4,0,1,2
8053,66.51,2,33,0,266,13,1,2,0,0,2
8054,66.65,5,24,0,44,16,0,1,0,1,0
8056,690.55,1,19,1,16,20,6,1,2,4,0
8057,61.49,3,41,0,31,18,6,2,0,1,2
8058,37.37,2,44,0,293,7,6,2,1,1,2
8059,159.23,3,28,0,184,7,2,2,0,4,0
8060,214.0,1,24,0,71,1,1,2,3,2,1
8061,78.33,1,29,0,142,9,5,3,1,2,1
8062,23.5,5,42,0,311,9,2,1,1,4,1
8063,308.45,5,23,0,362,4,6,1,0,2,2
8064,279.73,2,48,0,337,10,2,3,1,2,2
8065,43.03,4,33,0,185,12,0,1,1,0,2
8066,577.1,3,38,0,302,20,2,3,3,2,1
8067,94.82,3,33,0,20,21,5,3,3,0,2
8068,263.21,3,31,0,13,2,1,1,2,3,0
8069,46.06,3,37,0,303,15,4,2,1,2,1
8071,249.56,1,28,0,298,2,2,1,3,4,2
8072,367.3,4,39,0,133,2,5,2,0,3,2
8073,314.06,4,38,0,76,12,6,1,1,4,2
8074,568.78,4,39,0,144,0,4,3,1,2,0
8075,316.75,1,43,0,282,5,6,3,1,1,0
8076,224.85,4,35,0,281,22,2,2,3,2,0
8077,114.72,4,45,0,118,1,5,1,3,4,1
8078,80.46,3,44,0,176,12,6,3,0,3,0
8079,126.23,5,30,0,306,7,3,1,3,4,2
8080,135.27,2,43,0,67,3,3,3,0,1,2
8081,332.83,4,17,0,197,13,4,3,0,3,0
8082,33.81,3,44,0,92,2,6,3,0,0,0
8083,141.64,5,35,0,123,21,6,1,3,3,0
8084,102.28,4,37,0,178,8,4,2,1,4,2
8085,456.1,3,38,0,62,14,2,3,0,2,2
8086,90.19,2,30,0,262,1,3,1,0,1,1
8087,77.37,2,32,0,336,21,4,1,2,2,0
8088,35.17,1,39,0,158,2,0,1,3,1,2
8089,64.53,5,41,0,330,2,6,3,3,2,2
8090,561.6,2,29,0,37,19,2,3,2,4,1
8091,273.85,1,31,0,163,5,5,3,0,1,0
8092,189.44,4,29,0,97,20,0,1,3,0,0
8093,86.38,2,45,0,4,19,0,3,3,1,1
8094,215.38,5,41,0,45,11,5,1,2,0,0
8095,523.29,1,58,0,121,15,3,2,1,0,1
8096,117.36,2,33,0,137,5,3,3,0,0,1
8097,318.3,1,37,0,232,0,5,1,0,1,2
8098,347.81,1,39,1,5,1,6,2,1,2,2
8099,29.67,3,33,0,21,11,3,1,1,2,0
8100,38.94,4,34,0,317,2,6,1,1,4,1
8101,66.14,4,18,0,150,1,5,1,0,0,0
8102,446.6,3,42,0,341,20,4,2,0,4,2
8103,78.6,2,29,0,265,14,4,2,2,4,0
8104,284.12,1,26,0,234,1,0,3,1,2,2
8105,281.13,5,34,0,293,21,0,3,2,1,2
8106,205.29,4,45,0,338,9,6,3,0,2,1
8107,275.7,5,28,0,285,20,6,3,2,0,2
8108,22.86,2,38,0,9,14,5,3,3,1,0
8109,163.91,5,32,0,347,3,2,2,2,2,2
8110,38.77,2,34,0,56,21,6,3,0,4,0
8111,211.1,3,29,0,291,3,4,1,2,4,2
8112,361.22,3,36,0,233,15,6,3,3,1,2
8113,39.3,5,29,0,275,19,1,2,1,0,2
8114,35.19,5,35,0,92,10,6,2,0,4,2
8115,152.38,3,37,0,7,17,5,3,2,1,2
8116,84.78,2,41,0,301,18,2,1,1,3,2
8117,336.3,5,25,0,97,9,4,2,1,1,0
8118,384.93,5,18,0,315,7,5,2,1,0,1
8119,409.75,3,45,0,6,9,0,4,0,2,0
8120,23.69,1,30,0,37,1,4,1,1,3,2
8121,134.36,3,43,0,17,3,6,3,0,2,2
8122,105.78,4,40,0,326,10,1,2,2,4,1
8123,233.21,3,48,0,53,19,1,2,2,2,1
8124,55.04,3,18,0,42,11,2,3,1,1,2
8125,208.65,3,36,0,304,15,6,2,2,2,0
8126,107.16,4,40,0,41,18,0,1,3,0,2
8127,51.32,5,43,0,61,18,3,1,1,3,0
8128,186.69,2,25,0,163,14,3,3,0,2,0
8129,163.12,1,39,0,138,17,1,1,0,0,0
8130,211.64,2,39,0,276,13,5,2,3,2,0
8131,171.92,3,46,0,159,1,3,2,2,1,1
8132,33.85,3,51,0,185,11,1,3,2,4,2
8133,61.7,5,23,0,188,4,6,3,2,4,1
8134,10.96,4,35,0,250,22,3,3,3,1,2
8135,83.45,5,48,0,202,8,5,2,0,2,1
8136,13.46,2,35,0,204,17,3,1,1,0,2
8137,117.95,3,23,0,268,6,4,2,2,3,2
8138,705.23,5,27,0,231,7,0,3,1,1,1
8139,93.08,3,21,0,225,6,1,2,3,3,2
8140,425.69,3,29,0,241,7,1,2,2,1,2
8142,209.07,1,32,0,41,23,4,2,3,0,0
8143,16.83,3,33,0,267,3,4,3,3,2,0
8144,610.32,3,34,0,72,7,4,1,0,2,1
8145,189.78,5,44,1,44,5,4,1,2,2,0
8146,431.77,4,29,0,355,2,3,3,0,3,2
8147,98.2,5,22,0,89,7,6,3,3,2,1
8148,321.48,1,31,0,163,9,4,3,2,0,2
8149,65.77,2,20,0,305,16,4,1,3,2,2
8150,66.19,4,35,0,171,21,1,4,3,1,0
8151,299.63,2,41,0,312,20,3,1,1,1,0
8152,93.21,5,32,0,65,3,1,2,2,2,0
8153,130.78,4,31,0,363,22,4,1,3,1,2
8154,270.27,1,33,0,99,0,1,3,2,4,2
8155,224.38,1,30,0,196,11,6,2,1,3,2
8156,58.03,2,45,0,169,9,1,3,1,0,2
8157,840.51,3,43,0,290,21,5,3,0,2,1
8158,104.96,5,21,0,136,5,2,2,3,4,1
8159,153.95,2,38,0,43,19,0,1,1,4,2
8160,30.02,2,49,0,107,6,1,4,1,1,2
8161,86.96,4,19,0,267,11,6,1,0,4,2
8162,104.77,4,21,0,217,14,3,2,3,1,2
8163,182.36,2,33,0,264,17,2,3,2,2,1
8164,27.6,3,39,0,220,18,1,1,0,1,0
8166,259.03,4,24,0,335,13,2,3,0,0,2
8167,225.86,4,35,0,165,6,1,2,0,0,1
8168,165.55,5,31,1,15,13,3,1,3,0,2
8169,233.82,3,59,0,271,4,5,2,1,3,0
8170,61.62,2,26,0,48,17,3,2,0,2,0
8171,918.75,5,37,1,232,1,0,1,3,4,0
8172,155.46,1,39,0,303,3,5,3,2,0,2
8173,38.57,3,34,0,284,23,6,1,3,2,2
8174,281.15,3,39,0,338,11,5,1,2,2,2
8175,125.71,1,20,0,98,23,6,3,2,0,0
8176,528.96,5,39,0,143,15,3,1,0,3,2
8177,46.55,3,29,0,338,7,0,1,3,3,1
8178,27.38,4,40,0,279,2,0,2,1,2,0
